Yoga Pose, Relieves Anxiety, Clams the Mind, Eases Depression, Relieves Stress, Energizes, Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Seated Forward Bend, Relieves Anxiety, Calms the Mind, Eases Depression, Relieves Stress, Energizes, Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Big Toe Pose, Relieves Anxiety, Calms the Mind, Eases Depression, Relieves Stress, Energizes, Alleviates Insomnia, , Improves Digestion
Standing Forward Bend, Relieves Anxiety, Calms the Mind, Eases Depression, Relieves Stress, Energizes, Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Corpse Pose, , Calms the Mind, Eases Depression, Relieves Stress, Energizes, Alleviates Insomnia, Relieves High Blood Pressure, 
Supported Headstand, , Calms the Mind, Eases Depression, Relieves Stress, Energizes, Alleviates Insomnia, , Improves Digestion
Supported Shoulderstand, , Calms the Mind, Eases Depression, Relieves Stress, Energizes, , , Improves Digestion
Bridge Pose, Relieves Anxiety, Calms the Mind, Eases Depression, , , Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Dolphin Plank Pose, , Calms the Mind, Eases Depression, Relieves Stress, , , Relieves High Blood Pressure, 
Easy Pose, Relieves Anxiety, Calms the Mind, Eases Depression, , , , , 
Legs-Up-the-Wall Pose, Relieves Anxiety, Calms the Mind, Eases Depression, , , Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Head-to-Knee Forward Bend, Relieves Anxiety, Calms the Mind, , , Energizes, Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Dolphin Pose, , Calms the Mind, Eases Depression, , Energizes, Alleviates Insomnia, , Improves Digestion
Bound Angle Pose, Relieves Anxiety, , Eases Depression, , Energizes, , Relieves High Blood Pressure, 
Wide-Legged Forward Bend, , Calms the Mind, Eases Depression, , Energizes, , , 
Child's Pose, , Calms the Mind, , Relieves Stress, Energizes, , , 
Fire Log Pose (Double Pigeon Pose), , , Eases Depression, Relieves Stress, , Alleviates Insomnia, , 
Happy Baby Pose, , Calms the Mind, , Relieves Stress, Energizes, , , 
Downward-Facing Dog, , Calms the Mind, , , Energizes, Alleviates Insomnia, Relieves High Blood Pressure, Improves Digestion
Plow Pose, , Calms the Mind, , , Energizes, Alleviates Insomnia, , 