Year,Removals,Special
1981,17.37900,0
1982,15.21600,0
1983,19.21100,0
1984,18.69600,0
1985,23.10500,0
1986,24.59200,1
1987,24.33600,0
1988,25.82900,1
1989,34.42700,0
1990,30.03900,1
1991,33.18900,0
1992,43.67100,0
1993,42.54200,0
1994,45.67400,0
1995,50.92400,0
1996,69.68000,1
1997,114.43200,0
1998,174.81300,0
1999,183.11400,0
2000,188.46700,0
2001,189.02600,0
2002,165.16800,0
2003,211.09800,0
2004,240.66500,0
2005,246.43100,0
2006,280.97400,0
2007,319.38200,0
2008,359.79500,0
2009,391.34100,0
2010,381.73800,0