State,Immigrant_Detained,fips
Arizona,77864,US04
California,67727,US06
Colorado,2410,US08
District of Colombia,3225,US11
Florida,7448,US12
Georgia,10208,US13
Hawai,75,US15
Illinois,7649,US17
Louisiana,6329,US22
Maine,32,US23
Maryland,1230,US24
Massachusetts,1906,US25
Michigan,3414,US26
Minnesota,2456,US27
Montana,64,US30
New Jersey,2635,US34
New York,3995,US36
North Dakota,789,US38
Pennsylvania,4153,US42
Puerto Rico,598,US43
Texas,251070,US48
Utah,4384,US49
Vermont,341,US50
Washigton,3641,US53