date,value
1983,393015
1984,415796
1985,447873
1986,485553
1987,521289
1988,560994
1989,633739
1990,689577
1991,732916
1992,780571
1993,857675
1994,936896
1995,1001359
1996,1048907
1997,1099347
1998,1152792
1999,1189806
2000,1209130
2001,1208708
2002,1237476
2003,1256442
2004,1274591
2005,1296693
2006,1331065
2007,1353647
2008,1365409
2009,1365688
2010,1362028
2011,1341797
2012,1315856
2013,1325305
2014,1316407
2015,1298159
2016,1286691
2017,1306131
2018,1285260