gender,range,status,percent
M,$0,J,4.37
M,$0,NB,4.21
M,$0,NJ,3.22
M,$1-99,J,2.35
M,$1-99,NB,3.71
M,$1-99,NJ,1.13
M,$100-199,J,3.48
M,$100-199,NB,3.92
M,$100-199,NJ,1.06
M,$200-299,J,5.04
M,$200-299,NB,6.17
M,$200-299,NJ,0.95
M,$300-399,J,3.75
M,$300-399,NB,3.90
M,$300-399,NJ,0.96
M,$400-499,J,4.99
M,$400-499,NB,6.82
M,$400-499,NJ,1.26
M,$500-599,J,7.79
M,$500-599,NB,7.71
M,$500-599,NJ,2.02
M,$600-799,J,6.44
M,$600-799,NB,6.22
M,$600-799,NJ,2.60
M,$800-999,J,8.81
M,$800-999,NB,7.90
M,$800-999,NJ,3.22
M,$1000-1199,J,9.78
M,$1000-1199,NB,8.75
M,$1000-1199,NJ,4.45
M,$1200-1499,J,11.70
M,$1200-1499,NB,11.47
M,$1200-1499,NJ,5.88
M,$1500-1999,J,9.72
M,$1500-1999,NB,10.08
M,$1500-1999,NJ,11.08
M,$2000-2499,J,8.30
M,$2000-2499,NB,6.13
M,$2000-2499,NJ,11.18
M,$2500-4999,J,8.66
M,$2500-4999,NB,7.99
M,$2500-4999,NJ,36.15
M,$5000+,J,4.82
M,$5000+,NB,5.01
M,$5000+,NJ,14.84
F,$0,J,10.27
F,$0,NB,7.13
F,$0,NJ,14.30
F,$1-99,J,3.85
F,$1-99,NB,4.29
F,$1-99,NJ,3.10
F,$100-199,J,5.40
F,$100-199,NB,6.38
F,$100-199,NJ,2.30
F,$200-299,J,7.89
F,$200-299,NB,8.57
F,$200-299,NJ,2.20
F,$300-399,J,7.39
F,$300-399,NB,6.37
F,$300-399,NJ,2.00
F,$400-499,J,6.16
F,$400-499,NB,7.12
F,$400-499,NJ,2.50
F,$500-599,J,10.98
F,$500-599,NB,5.45
F,$500-599,NJ,3.40
F,$600-799,J,8.91
F,$600-799,NB,9.45
F,$600-799,NJ,4.10
F,$800-999,J,8.67
F,$800-999,NB,7.65
F,$800-999,NJ,4.80
F,$1000-1199,J,9.40
F,$1000-1199,NB,7.15
F,$1000-1199,NJ,5.40
F,$1200-1499,J,9.02
F,$1200-1499,NB,6.81
F,$1200-1499,NJ,6.60
F,$1500-1999,J,5.89
F,$1500-1999,NB,4.99
F,$1500-1999,NJ,11.40
F,$2000-2499,J,7.14
F,$2000-2499,NB,7.35
F,$2000-2499,NJ,9.80
F,$2500-4999,J,6.09
F,$2500-4999,NB,7.13
F,$2500-4999,NJ,23
F,$5000+,J,3.21
F,$5000+,NB,4.17
F,$5000+,NJ,5.20